states,inputs,outputs,transitions,Number of AllMutants,Number of killed AllMutants OracleOutput,Mutation score AllMutants OracleOutput,Number of killed AllMutants OracleState,Mutation score AllMutants OracleState,Number of killed AllMutants OracleOutputAndState,Mutation score AllMutants OracleOutputAndState,Number of ISCMutant,Number of killed ISCMutant OracleOutput,Mutation score ISCMutant OracleOutput,Number of killed ISCMutant OracleState,Mutation score ISCMutant OracleState,Number of killed ISCMutant OracleOutputAndState,Mutation score ISCMutant OracleOutputAndState,Number of COIMutant,Number of killed COIMutant OracleOutput,Mutation score COIMutant OracleOutput,Number of killed COIMutant OracleState,Mutation score COIMutant OracleState,Number of killed COIMutant OracleOutputAndState,Mutation score COIMutant OracleOutputAndState,Number of MOIMutant,Number of killed MOIMutant OracleOutput,Mutation score MOIMutant OracleOutput,Number of killed MOIMutant OracleState,Mutation score MOIMutant OracleState,Number of killed MOIMutant OracleOutputAndState,Mutation score MOIMutant OracleOutputAndState,Number of COOMutant,Number of killed COOMutant OracleOutput,Mutation score COOMutant OracleOutput,Number of killed COOMutant OracleState,Mutation score COOMutant OracleState,Number of killed COOMutant OracleOutputAndState,Mutation score COOMutant OracleOutputAndState,Number of MOOMutant,Number of killed MOOMutant OracleOutput,Mutation score MOOMutant OracleOutput,Number of killed MOOMutant OracleState,Mutation score MOOMutant OracleState,Number of killed MOOMutant OracleOutputAndState,Mutation score MOOMutant OracleOutputAndState,Number of ESCMutant,Number of killed ESCMutant OracleOutput,Mutation score ESCMutant OracleOutput,Number of killed ESCMutant OracleState,Mutation score ESCMutant OracleState,Number of killed ESCMutant OracleOutputAndState,Mutation score ESCMutant OracleOutputAndState,Number of ROTMutant,Number of killed ROTMutant OracleOutput,Mutation score ROTMutant OracleOutput,Number of killed ROTMutant OracleState,Mutation score ROTMutant OracleState,Number of killed ROTMutant OracleOutputAndState,Mutation score ROTMutant OracleOutputAndState,Number of MOTMutant,Number of killed MOTMutant OracleOutput,Mutation score MOTMutant OracleOutput,Number of killed MOTMutant OracleState,Mutation score MOTMutant OracleState,Number of killed MOTMutant OracleOutputAndState,Mutation score MOTMutant OracleOutputAndState,Number of MOSMutant,Number of killed MOSMutant OracleOutput,Mutation score MOSMutant OracleOutput,Number of killed MOSMutant OracleState,Mutation score MOSMutant OracleState,Number of killed MOSMutant OracleOutputAndState,Mutation score MOSMutant OracleOutputAndState,Number of SSRMutant,Number of killed SSRMutant OracleOutput,Mutation score SSRMutant OracleOutput,Number of killed SSRMutant OracleState,Mutation score SSRMutant OracleState,Number of killed SSRMutant OracleOutputAndState,Mutation score SSRMutant OracleOutputAndState,Number of ESRMutant,Number of killed ESRMutant OracleOutput,Mutation score ESRMutant OracleOutput,Number of killed ESRMutant OracleState,Mutation score ESRMutant OracleState,Number of killed ESRMutant OracleOutputAndState,Mutation score ESRMutant OracleOutputAndState,Number of DOTMutant,Number of killed DOTMutant OracleOutput,Mutation score DOTMutant OracleOutput,Number of killed DOTMutant OracleState,Mutation score DOTMutant OracleState,Number of killed DOTMutant OracleOutputAndState,Mutation score DOTMutant OracleOutputAndState,Average number of test cases killed AllMutants OracleOutput,Average number of test cases killed AllMutants OracleState,Average number of test cases killed AllMutants OracleOutputAndState,Average number of test cases killed ISCMutant OracleOutput,Average number of test cases killed ISCMutant OracleState,Average number of test cases killed ISCMutant OracleOutputAndState,Average number of test cases killed COIMutant OracleOutput,Average number of test cases killed COIMutant OracleState,Average number of test cases killed COIMutant OracleOutputAndState,Average number of test cases killed MOIMutant OracleOutput,Average number of test cases killed MOIMutant OracleState,Average number of test cases killed MOIMutant OracleOutputAndState,Average number of test cases killed COOMutant OracleOutput,Average number of test cases killed COOMutant OracleState,Average number of test cases killed COOMutant OracleOutputAndState,Average number of test cases killed MOOMutant OracleOutput,Average number of test cases killed MOOMutant OracleState,Average number of test cases killed MOOMutant OracleOutputAndState,Average number of test cases killed ESCMutant OracleOutput,Average number of test cases killed ESCMutant OracleState,Average number of test cases killed ESCMutant OracleOutputAndState,Average number of test cases killed ROTMutant OracleOutput,Average number of test cases killed ROTMutant OracleState,Average number of test cases killed ROTMutant OracleOutputAndState,Average number of test cases killed MOTMutant OracleOutput,Average number of test cases killed MOTMutant OracleState,Average number of test cases killed MOTMutant OracleOutputAndState,Average number of test cases killed MOSMutant OracleOutput,Average number of test cases killed MOSMutant OracleState,Average number of test cases killed MOSMutant OracleOutputAndState,Average number of test cases killed SSRMutant OracleOutput,Average number of test cases killed SSRMutant OracleState,Average number of test cases killed SSRMutant OracleOutputAndState,Average number of test cases killed ESRMutant OracleOutput,Average number of test cases killed ESRMutant OracleState,Average number of test cases killed ESRMutant OracleOutputAndState,Average number of test cases killed DOTMutant OracleOutput,Average number of test cases killed DOTMutant OracleState,Average number of test cases killed DOTMutant OracleOutputAndState,Number of test cases,CoveredStates,CoveredTransitions
5,2,4,6,167,73,0.43712574,61,0.36526945,87,0.52095807,4,4,1,4,1,4,1,6,6,1,4,0.6666667,6,1,6,6,1,6,1,6,1,18,18,1,0,0,18,1,6,6,1,0,0,6,1,19,14,0.7368421,19,1,19,1,6,6,1,6,1,6,1,6,6,1,6,1,6,1,4,4,1,4,1,4,1,6,3,0.5,6,1,6,1,6,0,0,6,1,6,1,80,0,0,0,0,0,0,0.80479455,0.7991803,0.79022986,1,1,1,0.9166667,0.875,0.9166667,0.75,0.75,0.75,0.75,NaN,0.75,0.75,NaN,0.75,0.76785713,0.7631579,0.7631579,0.75,0.7916667,0.7916667,0.75,0.75,0.75,1,1,1,1,0.75,0.75,NaN,0.75,0.75,NaN,NaN,NaN,4,5,6
5,4,2,13,229,120,0.52401745,116,0.5065502,157,0.6855895,4,4,1,4,1,4,1,39,35,0.8974359,28,0.71794873,37,0.94871795,13,13,1,11,0.84615386,13,1,13,13,1,0,0,13,1,13,13,1,0,0,13,1,21,8,0.3809524,21,1,21,1,13,13,1,11,0.84615386,13,1,13,13,1,11,0.84615386,13,1,4,4,1,4,1,4,1,13,4,0.30769232,13,1,13,1,13,0,0,13,1,13,1,70,0,0,0,0,0,0,0.25069445,0.2658046,0.24734606,0.8125,1,1,0.29285714,0.32738096,0.31306306,0.18589742,0.20454545,0.18589742,0.18589742,NaN,0.18589742,0.18589742,NaN,0.18589742,0.16666667,0.18650794,0.18650794,0.20512821,0.22727273,0.22435898,0.18589742,0.20454545,0.18589742,0.47916666,0.47916666,0.47916666,0.25,0.18589742,0.18589742,NaN,0.18589742,0.18589742,NaN,NaN,NaN,12,5,13
5,4,4,14,342,159,0.4649123,154,0.4502924,222,0.64912283,4,4,1,4,1,4,1,42,36,0.85714287,33,0.78571427,42,1,14,14,1,13,0.9285714,14,1,42,42,1,0,0,42,1,14,14,1,0,0,14,1,46,13,0.2826087,46,1,46,1,14,14,1,13,0.9285714,14,1,14,14,1,13,0.9285714,14,1,4,4,1,4,1,4,1,14,4,0.2857143,14,1,14,1,14,0,0,14,1,14,1,120,0,0,0,0,0,0,0.27861637,0.2590909,0.24009009,0.975,1,1,0.32777777,0.34242424,0.30952382,0.19285715,0.2,0.19285715,0.19285715,NaN,0.19285715,0.19285715,NaN,0.19285715,0.37692308,0.19130436,0.19130436,0.27857143,0.25384614,0.2857143,0.19285715,0.2,0.19285715,0.475,0.475,0.475,0.425,0.19285715,0.19285715,NaN,0.19285715,0.19285715,NaN,NaN,NaN,10,5,14
5,4,4,20,313,238,0.76038337,210,0.6709265,313,1,4,4,1,4,1,4,1,60,54,0.9,52,0.8666667,60,1,20,20,1,15,0.75,20,1,60,60,1,0,0,60,1,20,20,1,0,0,20,1,65,28,0.43076923,65,1,65,1,20,20,1,15,0.75,20,1,20,20,1,15,0.75,20,1,4,4,1,4,1,4,1,20,8,0.4,20,1,20,1,20,0,0,20,1,20,1,0,0,NaN,0,NaN,0,NaN,0.18507403,0.19115646,0.17214362,0.85119045,1,1,0.2557319,0.23626372,0.25238097,0.12619048,0.15079366,0.12619048,0.12619048,NaN,0.12619048,0.12619048,NaN,0.12619048,0.15476191,0.12967032,0.12967032,0.20119047,0.25873017,0.20714286,0.12619048,0.15079366,0.12619048,0.4940476,0.4940476,0.4940476,0.16964285,0.12619048,0.12619048,NaN,0.12619048,0.12619048,NaN,NaN,NaN,42,5,20
5,4,6,13,465,204,0.43870968,167,0.35913977,255,0.5483871,4,4,1,4,1,4,1,39,37,0.94871795,35,0.8974359,39,1,13,13,1,11,0.84615386,13,1,65,65,1,0,0,65,1,13,13,1,0,0,13,1,65,35,0.53846157,65,1,65,1,13,13,1,11,0.84615386,13,1,13,13,1,11,0.84615386,13,1,4,4,1,4,1,4,1,13,7,0.53846157,13,1,13,1,13,0,0,13,1,13,1,210,0,0,0,0,0,0,0.21568626,0.24184963,0.21851853,0.7916667,1,1,0.2942943,0.30158728,0.2962963,0.17948717,0.20202021,0.17948717,0.17948717,NaN,0.17948717,0.17948717,NaN,0.17948717,0.15238096,0.17948717,0.17948717,0.22222222,0.27272728,0.23931625,0.17948717,0.20202021,0.17948717,0.5138889,0.5138889,0.5138889,0.14285713,0.17948717,0.17948717,NaN,0.17948717,0.17948717,NaN,NaN,NaN,18,5,13
5,4,8,14,570,234,0.4105263,202,0.35438597,330,0.57894737,4,4,1,4,1,4,1,42,40,0.95238096,29,0.6904762,42,1,14,14,1,13,0.9285714,14,1,98,98,1,0,0,98,1,14,14,1,0,0,14,1,98,28,0.2857143,98,1,98,1,14,14,1,13,0.9285714,14,1,14,14,1,13,0.9285714,14,1,4,4,1,4,1,4,1,14,4,0.2857143,14,1,14,1,14,0,0,14,1,14,1,240,0,0,0,0,0,0,0.2611111,0.240099,0.21848485,1,1,1,0.32,0.3689655,0.3142857,0.18571427,0.19230768,0.18571427,0.18571427,NaN,0.18571427,0.18571427,NaN,0.18571427,0.4,0.18571427,0.18571427,0.22857144,0.23846154,0.22857144,0.18571427,0.19230768,0.18571427,0.575,0.575,0.575,0.4,0.18571427,0.18571427,NaN,0.18571427,0.18571427,NaN,NaN,NaN,10,5,14
5,4,10,20,548,408,0.74452555,328,0.5985401,548,1,4,4,1,4,1,4,1,60,60,1,46,0.76666665,60,1,20,20,1,18,0.9,20,1,180,180,1,0,0,180,1,20,20,1,0,0,20,1,180,72,0.4,180,1,180,1,20,20,1,18,0.9,20,1,20,20,1,18,0.9,20,1,4,4,1,4,1,4,1,20,8,0.4,20,1,20,1,20,0,0,20,1,20,1,0,0,NaN,0,NaN,0,NaN,0.17593138,0.16420732,0.15656935,0.925,1,1,0.252,0.21652174,0.258,0.129,0.1388889,0.129,0.129,NaN,0.129,0.129,NaN,0.129,0.18916667,0.129,0.129,0.241,0.24666665,0.245,0.129,0.1388889,0.129,0.52,0.52,0.52,0.185,0.129,0.129,NaN,0.129,0.129,NaN,NaN,NaN,50,5,20
10,4,2,23,632,231,0.36550632,242,0.38291138,292,0.4620253,9,9,1,9,1,9,1,69,67,0.9710145,65,0.942029,69,1,23,23,1,23,1,23,1,23,23,1,0,0,23,1,23,23,1,0,0,23,1,44,21,0.47727272,44,1,44,1,23,23,1,23,1,23,1,23,23,1,23,1,23,1,9,9,1,9,1,9,1,23,10,0.4347826,23,1,23,1,23,0,0,23,1,23,1,340,0,0,0,0,0,0,0.21326043,0.20639408,0.1980894,0.94736844,1,1,0.21131186,0.20809717,0.21434021,0.14416476,0.14416476,0.14416476,0.14416476,NaN,0.14416476,0.14416476,NaN,0.14416476,0.1829574,0.14712918,0.14712918,0.1853547,0.19679634,0.19679634,0.14416476,0.14416476,0.14416476,0.3508772,0.3508772,0.3508772,0.20526317,0.14416476,0.14416476,NaN,0.14416476,0.14416476,NaN,NaN,NaN,19,10,23
10,4,4,29,909,341,0.3751375,333,0.36633664,465,0.51155114,9,9,1,9,1,9,1,87,73,0.83908045,79,0.90804595,83,0.954023,29,29,1,25,0.86206895,29,1,87,87,1,0,0,87,1,29,29,1,0,0,29,1,103,38,0.36893204,103,1,103,1,29,29,1,25,0.86206895,29,1,29,29,1,25,0.86206895,29,1,9,9,1,9,1,9,1,29,9,0.31034482,29,1,29,1,29,0,0,29,1,29,1,440,0,0,0,0,0,0,0.16973606,0.16552553,0.14744087,0.95111114,1,1,0.19780822,0.19493671,0.18939759,0.107586205,0.1184,0.107586205,0.107586205,NaN,0.107586205,0.107586205,NaN,0.107586205,0.18421052,0.110291265,0.110291265,0.16413793,0.1792,0.16551724,0.107586205,0.1184,0.107586205,0.30222222,0.30222222,0.30222222,0.18666667,0.107586205,0.107586205,NaN,0.107586205,0.107586205,NaN,NaN,NaN,25,10,29
10,4,4,40,640,474,0.740625,460,0.71875,638,0.996875,9,9,1,9,1,9,1,120,100,0.8333333,106,0.8833333,118,0.98333335,40,40,1,38,0.95,40,1,120,120,1,0,0,120,1,40,40,1,0,0,40,1,142,60,0.4225352,142,1,142,1,40,40,1,38,0.95,40,1,40,40,1,38,0.95,40,1,9,9,1,9,1,9,1,40,16,0.4,40,1,40,1,40,0,0,40,1,40,1,0,0,NaN,0,NaN,0,NaN,0.13807076,0.13222127,0.12262951,0.9152915,1,1,0.18079208,0.16308613,0.17301561,0.08589109,0.08989056,0.08589109,0.08589109,NaN,0.08589109,0.08589109,NaN,0.08589109,0.12161717,0.084785946,0.084785946,0.15148515,0.15216258,0.15717822,0.08589109,0.08989056,0.08589109,0.33443347,0.33443347,0.33443347,0.13428217,0.08589109,0.08589109,NaN,0.08589109,0.08589109,NaN,NaN,NaN,101,10,40
10,4,6,26,1365,390,0.2857143,357,0.26153848,523,0.3831502,9,9,1,9,1,9,1,78,68,0.8717949,72,0.9230769,76,0.974359,26,26,1,24,0.9230769,26,1,130,130,1,0,0,130,1,26,26,1,0,0,26,1,143,59,0.4125874,143,1,143,1,26,26,1,24,0.9230769,26,1,26,26,1,24,0.9230769,26,1,9,9,1,9,1,9,1,26,11,0.42307693,26,1,26,1,26,0,0,26,1,26,1,840,0,0,0,0,0,0,0.16376068,0.15845005,0.14359465,1,1,1,0.19313724,0.18981482,0.18684211,0.11282051,0.11666667,0.11282051,0.11282051,NaN,0.11282051,0.11282051,NaN,0.11282051,0.16949153,0.11212121,0.11212121,0.14871794,0.15972222,0.1525641,0.11282051,0.11666667,0.11282051,0.2851852,0.2851852,0.2851852,0.16666667,0.11282051,0.11282051,NaN,0.11282051,0.11282051,NaN,NaN,NaN,30,10,26
10,4,8,26,1742,466,0.2675086,404,0.23191734,618,0.35476464,9,9,1,9,1,9,1,78,72,0.9230769,71,0.9102564,74,0.94871795,26,26,1,25,0.96153843,26,1,182,182,1,0,0,182,1,26,26,1,0,0,26,1,188,79,0.42021278,188,1,188,1,26,26,1,25,0.96153843,26,1,26,26,1,25,0.96153843,26,1,9,9,1,9,1,9,1,26,11,0.42307693,26,1,26,1,26,0,0,26,1,26,1,1120,0,0,0,0,0,0,0.17596567,0.16734827,0.1532292,1,1,1,0.21316424,0.20943049,0.21092832,0.12541807,0.12869565,0.12541807,0.12541807,NaN,0.12541807,0.12541807,NaN,0.12541807,0.19702807,0.12511563,0.12511563,0.16889632,0.16869566,0.16889632,0.12541807,0.12869565,0.12541807,0.33816424,0.33816424,0.33816424,0.18577076,0.12541807,0.12541807,NaN,0.12541807,0.12541807,NaN,NaN,NaN,23,10,26
10,4,10,23,2339,514,0.21975203,397,0.16973065,639,0.2731937,9,9,1,9,1,9,1,69,69,1,60,0.8695652,69,1,23,23,1,22,0.95652175,23,1,207,207,1,0,0,207,1,23,23,1,0,0,23,1,207,115,0.5555556,207,1,207,1,23,23,1,22,0.95652175,23,1,23,23,1,22,0.95652175,23,1,9,9,1,9,1,9,1,23,13,0.5652174,23,1,23,1,23,0,0,23,1,23,1,1700,0,0,0,0,0,0,0.16770428,0.16876574,0.15693271,0.9777778,1,1,0.20753624,0.202,0.21217392,0.13217391,0.13272727,0.13217391,0.13217391,NaN,0.13217391,0.13217391,NaN,0.13217391,0.15547825,0.13217391,0.13217391,0.16695651,0.1709091,0.16869566,0.13217391,0.13272727,0.13217391,0.31555554,0.31555554,0.31555554,0.15692307,0.13217391,0.13217391,NaN,0.13217391,0.13217391,NaN,NaN,NaN,25,10,23
10,6,4,41,1500,567,0.378,558,0.372,734,0.48933333,9,9,1,9,1,9,1,205,185,0.902439,187,0.91219515,199,0.97073174,41,41,1,41,1,41,1,123,123,1,0,0,123,1,41,41,1,0,0,41,1,148,60,0.4054054,148,1,148,1,41,41,1,41,1,41,1,41,41,1,41,1,41,1,9,9,1,9,1,9,1,41,17,0.41463414,41,1,41,1,41,0,0,41,1,41,1,760,0,0,0,0,0,0,0.11430251,0.11039427,0.10328273,0.9671958,1,1,0.11737452,0.1175452,0.12002871,0.07502904,0.07502904,0.07502904,0.07502904,NaN,0.07502904,0.07502904,NaN,0.07502904,0.11650794,0.07477477,0.07477477,0.09825784,0.10336818,0.10336818,0.07502904,0.07502904,0.07502904,0.33439153,0.33439153,0.33439153,0.11204482,0.07502904,0.07502904,NaN,0.07502904,0.07502904,NaN,NaN,NaN,105,10,41
10,6,4,60,1075,776,0.72186047,801,0.7451163,1069,0.9944186,9,9,1,9,1,9,1,300,264,0.88,284,0.94666666,294,0.98,60,60,1,54,0.9,60,1,180,180,1,0,0,180,1,60,60,1,0,0,60,1,217,58,0.26728112,217,1,217,1,60,60,1,54,0.9,60,1,60,60,1,54,0.9,60,1,9,9,1,9,1,9,1,60,16,0.26666668,60,1,60,1,60,0,0,60,1,60,1,0,0,NaN,0,NaN,0,NaN,0.07842032,0.07621983,0.067722954,0.9733796,1,1,0.08917298,0.089788735,0.0880102,0.04375,0.0466821,0.04375,0.04375,NaN,0.04375,0.04375,NaN,0.04375,0.08405173,0.043970812,0.043970812,0.07239583,0.08082562,0.077083334,0.04375,0.0466821,0.04375,0.26157406,0.26157406,0.26157406,0.076822914,0.04375,0.04375,NaN,0.04375,0.04375,NaN,NaN,NaN,96,10,60
10,8,4,43,2335,666,0.28522483,662,0.2835118,851,0.36445397,9,9,1,9,1,9,1,301,279,0.9269103,283,0.9401993,297,0.98671097,43,43,1,42,0.9767442,43,1,129,129,1,0,0,129,1,43,43,1,0,0,43,1,149,56,0.37583894,149,1,149,1,43,43,1,42,0.9767442,43,1,43,43,1,42,0.9767442,43,1,9,9,1,9,1,9,1,43,12,0.27906978,43,1,43,1,43,0,0,43,1,43,1,1480,0,0,0,0,0,0,0.08921713,0.0894049,0.08187358,0.97932816,1,1,0.0909394,0.09343413,0.09200533,0.05516495,0.05592469,0.05516495,0.05516495,NaN,0.05516495,0.05516495,NaN,0.05516495,0.07516611,0.05587638,0.05587638,0.08166576,0.09025471,0.08977826,0.05516495,0.05592469,0.05516495,0.24289407,0.24289407,0.24289407,0.09108527,0.05516495,0.05516495,NaN,0.05516495,0.05516495,NaN,NaN,NaN,43,10,43
10,8,4,80,1591,1182,0.742929,1209,0.75989944,1575,0.98994344,9,9,1,9,1,9,1,560,484,0.8642857,510,0.91071427,544,0.9714286,80,80,1,76,0.95,80,1,240,240,1,0,0,240,1,80,80,1,0,0,80,1,293,95,0.32423207,293,1,293,1,80,80,1,76,0.95,80,1,80,80,1,76,0.95,80,1,9,9,1,9,1,9,1,80,25,0.3125,80,1,80,1,80,0,0,80,1,80,1,0,0,NaN,0,NaN,0,NaN,0.061797474,0.06020214,0.054832127,0.9103676,1,1,0.07014041,0.068940885,0.06892358,0.034433085,0.03551164,0.034433085,0.034433085,NaN,0.034433085,0.034433085,NaN,0.034433085,0.05638818,0.034535695,0.034535695,0.061431225,0.06603405,0.064126395,0.034433085,0.03551164,0.034433085,0.2866584,0.2866584,0.2866584,0.06096654,0.034433085,0.034433085,NaN,0.034433085,0.034433085,NaN,NaN,NaN,269,10,80
10,10,4,64,2839,1056,0.37196195,1056,0.37196195,1385,0.48784783,9,9,1,9,1,9,1,576,500,0.8680556,507,0.8802083,562,0.9756944,64,64,1,58,0.90625,64,1,192,192,1,0,0,192,1,64,64,1,0,0,64,1,229,71,0.31004366,229,1,229,1,64,64,1,58,0.90625,64,1,64,64,1,58,0.90625,64,1,9,9,1,9,1,9,1,64,19,0.296875,64,1,64,1,64,0,0,64,1,64,1,1440,0,0,0,0,0,0,0.07226512,0.06817777,0.06424142,0.99620134,1,1,0.07174359,0.06903353,0.071022294,0.044671476,0.047303274,0.044671476,0.044671476,NaN,0.044671476,0.044671476,NaN,0.044671476,0.08083544,0.0443586,0.0443586,0.06790865,0.07102859,0.070579596,0.044671476,0.047303274,0.044671476,0.27920228,0.27920228,0.27920228,0.09064327,0.044671476,0.044671476,NaN,0.044671476,0.044671476,NaN,NaN,NaN,234,10,64
10,10,4,100,2173,1498,0.68936956,1643,0.75609756,2149,0.9889554,9,9,1,9,1,9,1,900,698,0.77555555,800,0.8888889,876,0.97333336,100,100,1,90,0.9,100,1,300,300,1,0,0,300,1,100,100,1,0,0,100,1,355,63,0.17746478,355,1,355,1,100,100,1,90,0.9,100,1,100,100,1,90,0.9,100,1,9,9,1,9,1,9,1,100,19,0.19,100,1,100,1,100,0,0,100,1,100,1,0,0,NaN,0,NaN,0,NaN,0.050004274,0.04615191,0.041586533,0.95511764,1,1,0.056516156,0.05247537,0.05136424,0.025270937,0.026984127,0.025270937,0.025270937,NaN,0.025270937,0.025270937,NaN,0.025270937,0.0670889,0.024353016,0.024353016,0.040738918,0.045539137,0.04320197,0.025270937,0.026984127,0.025270937,0.24356869,0.24356869,0.24356869,0.06352087,0.025270937,0.025270937,NaN,0.025270937,0.025270937,NaN,NaN,NaN,203,10,100
15,4,2,37,1153,351,0.30442324,380,0.32957503,461,0.39982653,14,14,1,14,1,14,1,111,97,0.8738739,105,0.9459459,109,0.981982,37,37,1,36,0.972973,37,1,37,37,1,0,0,37,1,37,37,1,0,0,37,1,65,25,0.3846154,65,1,65,1,37,37,1,36,0.972973,37,1,37,37,1,36,0.972973,37,1,14,14,1,14,1,14,1,37,16,0.43243244,37,1,37,1,37,0,0,37,1,37,1,690,0,0,0,0,0,0,0.18043685,0.17526315,0.16247289,0.9761905,1,1,0.18109965,0.18698412,0.18379205,0.105405405,0.10740741,0.105405405,0.105405405,NaN,0.105405405,0.105405405,NaN,0.105405405,0.18133333,0.11333334,0.11333334,0.16216215,0.17685184,0.17297296,0.105405405,0.10740741,0.105405405,0.2642857,0.2642857,0.2642857,0.14166667,0.105405405,0.105405405,NaN,0.105405405,0.105405405,NaN,NaN,NaN,30,15,37
15,4,4,42,1769,517,0.29225552,502,0.28377613,687,0.38835502,14,14,1,14,1,14,1,126,122,0.96825397,119,0.9444444,124,0.984127,42,42,1,38,0.9047619,42,1,126,126,1,0,0,126,1,42,42,1,0,0,42,1,157,57,0.36305732,157,1,157,1,42,42,1,38,0.9047619,42,1,42,42,1,38,0.9047619,42,1,14,14,1,14,1,14,1,42,16,0.3809524,42,1,42,1,42,0,0,42,1,42,1,1080,0,0,0,0,0,0,0.1327638,0.12826473,0.114224486,0.99007934,1,1,0.1388889,0.14425771,0.14023298,0.080026455,0.084795326,0.080026455,0.080026455,NaN,0.080026455,0.080026455,NaN,0.080026455,0.13937622,0.079794765,0.079794765,0.108465604,0.119883046,0.111772485,0.080026455,0.084795326,0.080026455,0.21230158,0.21230158,0.21230158,0.13715278,0.080026455,0.080026455,NaN,0.080026455,0.080026455,NaN,NaN,NaN,36,15,42
15,4,4,60,969,711,0.7337461,696,0.71826625,967,0.997936,14,14,1,14,1,14,1,180,158,0.87777776,156,0.8666667,178,0.98888886,60,60,1,57,0.95,60,1,180,180,1,0,0,180,1,60,60,1,0,0,60,1,221,83,0.37556562,221,1,221,1,60,60,1,57,0.95,60,1,60,60,1,57,0.95,60,1,14,14,1,14,1,14,1,60,22,0.36666667,60,1,60,1,60,0,0,60,1,60,1,0,0,NaN,0,NaN,0,NaN,0.098538995,0.09446106,0.084080786,0.97376096,1,1,0.11508655,0.11119833,0.10983719,0.05442177,0.056749012,0.05442177,0.05442177,NaN,0.05442177,0.05442177,NaN,0.05442177,0.09269732,0.056376398,0.056376398,0.09914965,0.10401003,0.10272109,0.05442177,0.056749012,0.05442177,0.21501458,0.21501458,0.21501458,0.09090909,0.05442177,0.05442177,NaN,0.05442177,0.05442177,NaN,NaN,NaN,98,15,60
15,4,6,32,3174,522,0.16446126,446,0.1405167,654,0.20604914,14,14,1,14,1,14,1,96,96,1,89,0.9270833,96,1,32,32,1,29,0.90625,32,1,160,160,1,0,0,160,1,32,32,1,0,0,32,1,178,93,0.5224719,178,1,178,1,32,32,1,29,0.90625,32,1,32,32,1,29,0.90625,32,1,14,14,1,14,1,14,1,32,17,0.53125,32,1,32,1,32,0,0,32,1,32,1,2520,0,0,0,0,0,0,0.23333335,0.2274824,0.20642202,1,1,1,0.2467262,0.27030498,0.25386906,0.17142858,0.18620689,0.17142858,0.17142858,NaN,0.17142858,0.17142858,NaN,0.17142858,0.26513055,0.17223114,0.17223114,0.18303572,0.19704433,0.18303572,0.17142858,0.18620689,0.17142858,0.37551022,0.37551022,0.37551022,0.2621849,0.17142858,0.17142858,NaN,0.17142858,0.17142858,NaN,NaN,NaN,35,15,32
