15,4,8,40,3364,736,0.21878716,634,0.18846612,964,0.2865636,14,14,1,14,1,14,1,120,116,0.96666664,116,0.96666664,120,1,40,40,1,38,0.95,40,1,280,280,1,0,0,280,1,40,40,1,0,0,40,1,296,134,0.4527027,296,1,296,1,40,40,1,38,0.95,40,1,40,40,1,38,0.95,40,1,14,14,1,14,1,14,1,40,18,0.45,40,1,40,1,40,0,0,40,1,40,1,2400,0,0,0,0,0,0,0.15835273,0.14935406,0.13515116,0.9982993,1,1,0.17549261,0.1750821,0.17321429,0.10892857,0.11278196,0.10892857,0.10892857,NaN,0.10892857,0.10892857,NaN,0.10892857,0.18603411,0.110682115,0.110682115,0.15833333,0.1641604,0.15892857,0.10892857,0.11278196,0.10892857,0.292517,0.292517,0.292517,0.18253967,0.10892857,0.10892857,NaN,0.10892857,0.10892857,NaN,NaN,NaN,42,15,40
15,4,10,33,4979,695,0.13958625,588,0.118096,929,0.18658365,14,14,1,14,1,14,1,99,95,0.959596,91,0.9191919,99,1,33,33,1,32,0.969697,33,1,297,297,1,0,0,297,1,33,33,1,0,0,33,1,307,129,0.42019543,307,1,307,1,33,33,1,32,0.969697,33,1,33,33,1,32,0.969697,33,1,14,14,1,14,1,14,1,33,14,0.42424244,33,1,33,1,33,0,0,33,1,33,1,4050,0,0,0,0,0,0,0.21332829,0.19280343,0.1778936,1,1,1,0.22770083,0.23423946,0.22381712,0.15151516,0.15460527,0.15151516,0.15151516,NaN,0.15151516,0.15151516,NaN,0.15151516,0.28478172,0.15223727,0.15223727,0.22807018,0.21546052,0.23763955,0.15151516,0.15460527,0.15151516,0.32330826,0.32330826,0.32330826,0.2744361,0.15151516,0.15151516,NaN,0.15151516,0.15151516,NaN,NaN,NaN,19,15,33
15,6,4,60,2895,824,0.28462866,842,0.2908463,1093,0.3775475,14,14,1,14,1,14,1,300,272,0.9066667,290,0.96666664,298,0.99333334,60,60,1,59,0.98333335,60,1,180,180,1,0,0,180,1,60,60,1,0,0,60,1,227,82,0.36123347,227,1,227,1,60,60,1,59,0.98333335,60,1,60,60,1,59,0.98333335,60,1,14,14,1,14,1,14,1,60,22,0.36666667,60,1,60,1,60,0,0,60,1,60,1,1800,0,0,0,0,0,0,0.11423084,0.105585404,0.09853525,0.99722606,1,1,0.109937176,0.10974222,0.111096635,0.07265372,0.07355603,0.07265372,0.07265372,NaN,0.07265372,0.07265372,NaN,0.07265372,0.1419607,0.07069843,0.07069843,0.09012946,0.09412539,0.09320389,0.07265372,0.07355603,0.07265372,0.29126215,0.29126215,0.29126215,0.13548101,0.07265372,0.07265372,NaN,0.07265372,0.07265372,NaN,NaN,NaN,103,15,60
15,6,4,90,1624,1145,0.7050493,1218,0.75,1614,0.99384236,14,14,1,14,1,14,1,450,382,0.8488889,428,0.95111114,440,0.9777778,90,90,1,82,0.9111111,90,1,270,270,1,0,0,270,1,90,90,1,0,0,90,1,336,83,0.2470238,336,1,336,1,90,90,1,82,0.9111111,90,1,90,90,1,82,0.9111111,90,1,14,14,1,14,1,14,1,90,22,0.24444444,90,1,90,1,90,0,0,90,1,90,1,0,0,NaN,0,NaN,0,NaN,0.05891473,0.05654205,0.05011383,0.927464,1,1,0.0622996,0.061435923,0.061451726,0.030490957,0.03261486,0.030490957,0.030490957,NaN,0.030490957,0.030490957,NaN,0.030490957,0.06603157,0.030638611,0.030638611,0.05236865,0.059273962,0.05572782,0.030490957,0.03261486,0.030490957,0.18438539,0.18438539,0.18438539,0.065186754,0.030490957,0.030490957,NaN,0.030490957,0.030490957,NaN,NaN,NaN,129,15,90
15,8,4,82,3936,1241,0.3152947,1289,0.32748982,1644,0.41768292,14,14,1,14,1,14,1,574,500,0.87108016,544,0.9477352,562,0.9790941,82,82,1,79,0.9634146,82,1,246,246,1,0,0,246,1,82,82,1,0,0,82,1,316,112,0.35443038,316,1,316,1,82,82,1,79,0.9634146,82,1,82,82,1,79,0.9634146,82,1,14,14,1,14,1,14,1,82,27,0.3292683,82,1,82,1,82,0,0,82,1,82,1,2280,0,0,0,0,0,0,0.059303056,0.058122765,0.052591316,0.9675723,1,1,0.06034356,0.061259475,0.06030173,0.0331438,0.034014136,0.0331438,0.0331438,NaN,0.0331438,0.0331438,NaN,0.0331438,0.050777826,0.032713365,0.032713365,0.045264103,0.04822552,0.046984885,0.0331438,0.034014136,0.0331438,0.18843119,0.18843119,0.18843119,0.05680527,0.0331438,0.0331438,NaN,0.0331438,0.0331438,NaN,NaN,NaN,163,15,82
15,10,4,94,5427,1751,0.32264602,1649,0.30385113,2057,0.37903076,14,14,1,14,1,14,1,846,806,0.9527187,813,0.96099293,836,0.9881797,94,94,1,91,0.9680851,94,1,282,282,1,0,0,282,1,94,94,1,0,0,94,1,347,205,0.5907781,347,1,347,1,94,94,1,91,0.9680851,94,1,94,94,1,91,0.9680851,94,1,14,14,1,14,1,14,1,94,54,0.5744681,94,1,94,1,94,0,0,94,1,94,1,3360,0,0,0,0,0,0,0.07401351,0.07483465,0.06981496,1,1,1,0.07480275,0.076950245,0.07660408,0.048267122,0.04947201,0.048267122,0.048267122,NaN,0.048267122,0.048267122,NaN,0.048267122,0.062299922,0.0496893,0.0496893,0.08288314,0.080550306,0.08338182,0.048267122,0.04947201,0.048267122,0.29938617,0.29938617,0.29938617,0.061668113,0.048267122,0.048267122,NaN,0.048267122,0.048267122,NaN,NaN,NaN,512,15,94
20,2,4,25,1583,329,0.20783323,283,0.17877448,383,0.24194567,19,19,1,19,1,19,1,25,25,1,25,1,25,1,25,25,1,25,1,25,1,75,75,1,0,0,75,1,25,25,1,0,0,25,1,95,72,0.75789475,95,1,95,1,25,25,1,25,1,25,1,25,25,1,25,1,25,1,19,19,1,19,1,19,1,25,19,0.76,25,1,25,1,25,0,0,25,1,25,1,1200,0,0,0,0,0,0,0.36423504,0.36454654,0.34769365,1,1,1,0.40666667,0.40666667,0.40666667,0.29999998,0.29999998,0.29999998,0.29999998,NaN,0.29999998,0.29999998,NaN,0.29999998,0.3287037,0.29473683,0.29473683,0.36,0.36666667,0.36666667,0.29999998,0.29999998,0.29999998,0.35964915,0.35964915,0.35964915,0.3245614,0.29999998,0.29999998,NaN,0.29999998,0.29999998,NaN,NaN,NaN,6,20,25
20,4,2,49,1862,484,0.25993556,518,0.2781955,618,0.3319012,19,19,1,19,1,19,1,147,131,0.89115644,141,0.9591837,143,0.9727891,49,49,1,49,1,49,1,49,49,1,0,0,49,1,49,49,1,0,0,49,1,94,46,0.4893617,94,1,94,1,49,49,1,49,1,49,1,49,49,1,49,1,49,1,19,19,1,19,1,19,1,49,24,0.48979592,49,1,49,1,49,0,0,49,1,49,1,1240,0,0,0,0,0,0,0.19418873,0.1829456,0.17343615,0.9703531,1,1,0.183496,0.18008798,0.18040188,0.12257815,0.12257815,0.12257815,0.12257815,NaN,0.12257815,0.12257815,NaN,0.12257815,0.18313153,0.121532455,0.121532455,0.18160683,0.18522346,0.18522346,0.12257815,0.12257815,0.12257815,0.3077948,0.3077948,0.3077948,0.17985232,0.12257815,0.12257815,NaN,0.12257815,0.12257815,NaN,NaN,NaN,158,20,49
20,4,4,46,3482,608,0.1746123,567,0.16283745,760,0.21826537,19,19,1,19,1,19,1,138,130,0.942029,133,0.9637681,136,0.98550725,46,46,1,44,0.95652175,46,1,138,138,1,0,0,138,1,46,46,1,0,0,46,1,172,93,0.5406977,172,1,172,1,46,46,1,44,0.95652175,46,1,46,46,1,44,0.95652175,46,1,19,19,1,19,1,19,1,46,25,0.54347825,46,1,46,1,46,0,0,46,1,46,1,2720,0,0,0,0,0,0,0.15775535,0.15609962,0.1413247,0.9598573,1,1,0.16740547,0.16656047,0.16450648,0.10095799,0.104776576,0.10095799,0.10095799,NaN,0.10095799,0.10095799,NaN,0.10095799,0.14543468,0.10297596,0.10297596,0.14222549,0.15061633,0.14480472,0.10095799,0.104776576,0.10095799,0.23728813,0.23728813,0.23728813,0.13898304,0.10095799,0.10095799,NaN,0.10095799,0.10095799,NaN,NaN,NaN,59,20,46
20,4,4,80,1306,955,0.73124045,969,0.74196017,1302,0.9969372,19,19,1,19,1,19,1,240,206,0.85833335,226,0.94166666,236,0.98333335,80,80,1,79,0.9875,80,1,240,240,1,0,0,240,1,80,80,1,0,0,80,1,308,120,0.38961038,308,1,308,1,80,80,1,79,0.9875,80,1,80,80,1,79,0.9875,80,1,19,19,1,19,1,19,1,80,31,0.3875,80,1,80,1,80,0,0,80,1,80,1,0,0,NaN,0,NaN,0,NaN,0.08073224,0.07717249,0.068645075,0.98357594,1,1,0.08944433,0.086298876,0.08600794,0.042996455,0.043450937,0.042996455,0.042996455,NaN,0.042996455,0.042996455,NaN,0.042996455,0.0678487,0.0429907,0.0429907,0.071010634,0.075500496,0.07491135,0.042996455,0.043450937,0.042996455,0.17506532,0.17506532,0.17506532,0.07092199,0.042996455,0.042996455,NaN,0.042996455,0.042996455,NaN,NaN,NaN,141,20,80
20,4,6,72,2415,1056,0.4372671,1001,0.41449276,1451,0.6008282,19,19,1,19,1,19,1,216,190,0.8796296,203,0.9398148,212,0.9814815,72,72,1,69,0.9583333,72,1,360,360,1,0,0,360,1,72,72,1,0,0,72,1,409,153,0.37408313,409,1,409,1,72,72,1,69,0.9583333,72,1,72,72,1,69,0.9583333,72,1,19,19,1,19,1,19,1,72,27,0.375,72,1,72,1,72,0,0,72,1,72,1,960,0,0,0,0,0,0,0.09036176,0.08502507,0.07438716,0.9956542,1,1,0.1047803,0.10118859,0.09788818,0.051605504,0.053051453,0.051605504,0.051605504,NaN,0.051605504,0.051605504,NaN,0.051605504,0.09432152,0.051524192,0.051524192,0.08741081,0.089349814,0.08855759,0.051605504,0.053051453,0.051605504,0.18831483,0.18831483,0.18831483,0.09514101,0.051605504,0.051605504,NaN,0.051605504,0.051605504,NaN,NaN,NaN,109,20,72
20,4,8,55,5335,990,0.185567,887,0.16626054,1333,0.24985942,19,19,1,19,1,19,1,165,149,0.9030303,160,0.969697,163,0.9878788,55,55,1,54,0.9818182,55,1,385,385,1,0,0,385,1,55,55,1,0,0,55,1,417,175,0.41966426,417,1,417,1,55,55,1,54,0.9818182,55,1,55,55,1,54,0.9818182,55,1,19,19,1,19,1,19,1,55,23,0.4181818,55,1,55,1,55,0,0,55,1,55,1,4000,0,0,0,0,0,0,0.10262272,0.098479,0.08664008,0.989843,1,1,0.120334394,0.114583336,0.11451943,0.06283891,0.06302794,0.06283891,0.06283891,NaN,0.06283891,0.06283891,NaN,0.06283891,0.1047619,0.06378055,0.06378055,0.11802232,0.12020793,0.11897927,0.06283891,0.06302794,0.06283891,0.16897507,0.16897507,0.16897507,0.098398164,0.06283891,0.06283891,NaN,0.06283891,0.06283891,NaN,NaN,NaN,57,20,55
20,4,10,48,7762,1049,0.13514557,877,0.11298634,1362,0.17547023,19,19,1,19,1,19,1,144,142,0.9861111,142,0.9861111,144,1,48,48,1,47,0.9791667,48,1,432,432,1,0,0,432,1,48,48,1,0,0,48,1,460,222,0.4826087,460,1,460,1,48,48,1,47,0.9791667,48,1,48,48,1,47,0.9791667,48,1,19,19,1,19,1,19,1,48,23,0.47916666,48,1,48,1,48,0,0,48,1,48,1,6400,0,0,0,0,0,0,0.11170427,0.108931966,0.09740578,0.99532163,1,1,0.13270736,0.12957747,0.13148148,0.07546296,0.076595746,0.07546296,0.07546296,NaN,0.07546296,0.07546296,NaN,0.07546296,0.10950951,0.075555556,0.075555556,0.1212963,0.11820331,0.12268519,0.07546296,0.076595746,0.07546296,0.17777778,0.17777778,0.17777778,0.10628019,0.07546296,0.07546296,NaN,0.07546296,0.07546296,NaN,NaN,NaN,45,20,48
20,6,4,78,4784,1080,0.2257525,1086,0.22700669,1422,0.2972408,19,19,1,19,1,19,1,390,358,0.9179487,373,0.9564102,388,0.9948718,78,78,1,75,0.96153843,78,1,234,234,1,0,0,234,1,78,78,1,0,0,78,1,294,108,0.36734694,294,1,294,1,78,78,1,75,0.96153843,78,1,78,78,1,75,0.96153843,78,1,19,19,1,19,1,19,1,78,30,0.3846154,78,1,78,1,78,0,0,78,1,78,1,3360,0,0,0,0,0,0,0.0892326,0.08424717,0.076055914,0.99242425,1,1,0.08320636,0.08426761,0.08239613,0.0510878,0.052828282,0.0510878,0.0510878,NaN,0.0510878,0.0510878,NaN,0.0510878,0.105289005,0.05246341,0.05246341,0.0750777,0.078888886,0.07760295,0.0510878,0.052828282,0.0510878,0.20135567,0.20135567,0.20135567,0.09217172,0.0510878,0.0510878,NaN,0.0510878,0.0510878,NaN,NaN,NaN,132,20,78
20,8,4,96,7061,1468,0.20790257,1511,0.21399236,1937,0.27432376,19,19,1,19,1,19,1,672,604,0.89880955,644,0.9583333,668,0.99404764,96,96,1,90,0.9375,96,1,288,288,1,0,0,288,1,96,96,1,0,0,96,1,367,122,0.33242506,367,1,367,1,96,96,1,90,0.9375,96,1,96,96,1,90,0.9375,96,1,19,19,1,19,1,19,1,96,32,0.33333334,96,1,96,1,96,0,0,96,1,96,1,5120,0,0,0,0,0,0,0.07084811,0.06571906,0.06004986,0.99629724,1,1,0.066125326,0.06407035,0.06400265,0.0397299,0.04142937,0.0397299,0.0397299,NaN,0.0397299,0.0397299,NaN,0.0397299,0.083820745,0.039708078,0.039708078,0.059359297,0.063707426,0.060720265,0.0397299,0.04142937,0.0397299,0.1920127,0.1920127,0.1920127,0.08369975,0.0397299,0.0397299,NaN,0.0397299,0.0397299,NaN,NaN,NaN,199,20,96
25,2,4,42,1430,510,0.35664335,458,0.32027972,630,0.44055945,24,24,1,24,1,24,1,42,40,0.95238096,38,0.9047619,42,1,42,42,1,42,1,42,1,126,126,1,0,0,126,1,42,42,1,0,0,42,1,162,101,0.6234568,162,1,162,1,42,42,1,42,1,42,1,42,42,1,42,1,42,1,24,24,1,24,1,24,1,42,27,0.64285713,42,1,42,1,42,0,0,42,1,42,1,800,0,0,0,0,0,0,0.21670046,0.21352206,0.19660646,0.98275864,1,1,0.27155173,0.26588023,0.26683086,0.14860426,0.14860426,0.14860426,0.14860426,NaN,0.14860426,0.14860426,NaN,0.14860426,0.18846022,0.14814815,0.14814815,0.20279147,0.20771757,0.20771757,0.14860426,0.14860426,0.14860426,0.25,0.25,0.25,0.18773948,0.14860426,0.14860426,NaN,0.14860426,0.14860426,NaN,NaN,NaN,29,25,42
25,4,2,61,2722,604,0.22189566,639,0.23475386,768,0.28214547,24,24,1,24,1,24,1,183,161,0.8797814,175,0.95628417,179,0.9781421,61,61,1,60,0.9836066,61,1,61,61,1,0,0,61,1,61,61,1,0,0,61,1,114,58,0.50877196,114,1,114,1,61,61,1,60,0.9836066,61,1,61,61,1,60,0.9836066,61,1,24,24,1,24,1,24,1,61,32,0.52459013,61,1,61,1,61,0,0,61,1,61,1,1950,0,0,0,0,0,0,0.14741175,0.14350116,0.13306336,0.963685,1,1,0.13077669,0.13572739,0.1331044,0.08497518,0.086085625,0.08497518,0.08497518,NaN,0.08497518,0.08497518,NaN,0.08497518,0.121955074,0.086753584,0.086753584,0.1356595,0.14097859,0.13896826,0.08497518,0.086085625,0.08497518,0.20412844,0.20412844,0.20412844,0.12098624,0.08497518,0.08497518,NaN,0.08497518,0.08497518,NaN,NaN,NaN,109,25,61
25,4,4,84,2980,1005,0.33724833,1034,0.34697986,1376,0.46174496,24,24,1,24,1,24,1,252,224,0.8888889,242,0.96031743,248,0.984127,84,84,1,84,1,84,1,252,252,1,0,0,252,1,84,84,1,0,0,84,1,324,115,0.35493827,324,1,324,1,84,84,1,84,1,84,1,84,84,1,84,1,84,1,24,24,1,24,1,24,1,84,30,0.35714287,84,1,84,1,84,0,0,84,1,84,1,1600,0,0,0,0,0,0,0.086829014,0.08066782,0.07172582,0.9960526,1,1,0.084680445,0.08316659,0.0820034,0.044862155,0.044862155,0.044862155,0.044862155,NaN,0.044862155,0.044862155,NaN,0.044862155,0.08549199,0.04506173,0.04506173,0.06967419,0.07142857,0.07142857,0.044862155,0.044862155,0.044862155,0.1504386,0.1504386,0.1504386,0.08280702,0.044862155,0.044862155,NaN,0.044862155,0.044862155,NaN,NaN,NaN,95,25,84
25,4,4,100,1631,1205,0.73881054,1219,0.74739426,1629,0.99877375,24,24,1,24,1,24,1,300,270,0.9,288,0.96,298,0.99333334,100,100,1,100,1,100,1,300,300,1,0,0,300,1,100,100,1,0,0,100,1,383,149,0.38903394,383,1,383,1,100,100,1,100,1,100,1,100,100,1,100,1,100,1,24,24,1,24,1,24,1,100,38,0.38,100,1,100,1,100,0,0,100,1,100,1,0,0,NaN,0,NaN,0,NaN,0.074361876,0.071250655,0.06278252,0.975505,1,1,0.07667789,0.076767676,0.07549319,0.037575755,0.037575755,0.037575755,0.037575755,NaN,0.037575755,0.037575755,NaN,0.037575755,0.063290626,0.03759791,0.03759791,0.07448485,0.077151515,0.077151515,0.037575755,0.037575755,0.037575755,0.15,0.15,0.15,0.06491228,0.037575755,0.037575755,NaN,0.037575755,0.037575755,NaN,NaN,NaN,165,25,100
25,4,6,61,7100,925,0.13028169,880,0.123943664,1250,0.17605634,24,24,1,24,1,24,1,183,163,0.89071035,182,0.9945355,183,1,61,61,1,60,0.9836066,61,1,305,305,1,0,0,305,1,61,61,1,0,0,61,1,348,141,0.4051724,348,1,348,1,61,61,1,60,0.9836066,61,1,61,61,1,60,0.9836066,61,1,24,24,1,24,1,24,1,61,24,0.39344263,61,1,61,1,61,0,0,61,1,61,1,5850,0,0,0,0,0,0,0.13194337,0.12080628,0.10870476,0.9970238,1,1,0.13248613,0.12637363,0.12581317,0.080405936,0.08134921,0.080405936,0.080405936,NaN,0.080405936,0.080405936,NaN,0.080405936,0.15737927,0.08175971,0.08175971,0.110070266,0.11150794,0.1108509,0.080405936,0.08134921,0.080405936,0.19146827,0.19146827,0.19146827,0.15773809,0.080405936,0.080405936,NaN,0.080405936,0.080405936,NaN,NaN,NaN,42,25,61
25,4,8,90,4177,1549,0.3708403,1445,0.34594205,2177,0.5211875,24,24,1,24,1,24,1,270,258,0.95555556,261,0.96666664,270,1,90,90,1,89,0.98888886,90,1,630,630,1,0,0,630,1,90,90,1,0,0,90,1,689,224,0.32510886,689,1,689,1,90,90,1,89,0.98888886,90,1,90,90,1,89,0.98888886,90,1,24,24,1,24,1,24,1,90,29,0.32222223,90,1,90,1,90,0,0,90,1,90,1,2000,0,0,0,0,0,0,0.08033067,0.07312767,0.06404008,0.9759887,1,1,0.08536986,0.084031425,0.08352166,0.04566855,0.04608646,0.04566855,0.04566855,NaN,0.04566855,0.04566855,NaN,0.04566855,0.104191884,0.046222724,0.046222724,0.0838983,0.083888784,0.08549906,0.04566855,0.04608646,0.04566855,0.16666666,0.16666666,0.16666666,0.10315605,0.04566855,0.04566855,NaN,0.04566855,0.04566855,NaN,NaN,NaN,118,25,90
25,4,10,78,7705,1652,0.21440624,1412,0.18325762,2203,0.28591824,24,24,1,24,1,24,1,234,230,0.982906,224,0.95726496,232,0.991453,78,78,1,77,0.98717946,78,1,702,702,1,0,0,702,1,78,78,1,0,0,78,1,753,326,0.43293494,753,1,753,1,78,78,1,77,0.98717946,78,1,78,78,1,77,0.98717946,78,1,24,24,1,24,1,24,1,78,34,0.43589744,78,1,78,1,78,0,0,78,1,78,1,5500,0,0,0,0,0,0,0.086850435,0.08215298,0.072478086,1,1,1,0.09919732,0.098695055,0.10072944,0.054339252,0.054945055,0.054339252,0.054339252,NaN,0.054339252,0.054339252,NaN,0.054339252,0.094006605,0.054326285,0.054326285,0.10177515,0.1034965,0.10226824,0.054339252,0.054945055,0.054339252,0.1698718,0.1698718,0.1698718,0.092307694,0.054339252,0.054339252,NaN,0.054339252,0.054339252,NaN,NaN,NaN,130,25,78
25,6,4,79,8556,1136,0.13277233,1105,0.12914914,1456,0.17017297,24,24,1,24,1,24,1,395,373,0.9443038,378,0.95696205,395,1,79,79,1,73,0.9240506,79,1,237,237,1,0,0,237,1,79,79,1,0,0,79,1,302,128,0.42384106,302,1,302,1,79,79,1,73,0.9240506,79,1,79,79,1,73,0.9240506,79,1,24,24,1,24,1,24,1,79,34,0.43037975,79,1,79,1,79,0,0,79,1,79,1,7100,0,0,0,0,0,0,0.09402686,0.09116917,0.0815203,0.9989919,1,1,0.087542154,0.089563064,0.087525524,0.053184975,0.056120194,0.053184975,0.053184975,NaN,0.053184975,0.053184975,NaN,0.053184975,0.09406502,0.05447554,0.05447554,0.075643115,0.080866106,0.0774806,0.053184975,0.056120194,0.053184975,0.1639785,0.1639785,0.1639785,0.088946864,0.053184975,0.053184975,NaN,0.053184975,0.053184975,NaN,NaN,NaN,124,25,79
30,4,2,98,2550,891,0.34941176,1021,0.40039214,1226,0.48078433,29,29,1,29,1,29,1,294,236,0.8027211,284,0.9659864,290,0.9863946,98,98,1,97,0.9897959,98,1,98,98,1,0,0,98,1,98,98,1,0,0,98,1,192,71,0.36979166,192,1,192,1,98,98,1,97,0.9897959,98,1,98,98,1,97,0.9897959,98,1,29,29,1,29,1,29,1,98,36,0.36734694,98,1,98,1,98,0,0,98,1,98,1,1320,0,0,0,0,0,0,0.10090618,0.091740124,0.085319616,0.97110474,1,1,0.09114093,0.084637456,0.08659004,0.04950869,0.04973272,0.04950869,0.04950869,NaN,0.04950869,0.04950869,NaN,0.04950869,0.08509389,0.049575616,0.049575616,0.06934996,0.07216495,0.07246787,0.04950869,0.04973272,0.04950869,0.16411239,0.16411239,0.16411239,0.08976337,0.04950869,0.04950869,NaN,0.04950869,0.04950869,NaN,NaN,NaN,216,30,98
30,4,4,77,6440,994,0.15434782,962,0.14937888,1280,0.19875777,29,29,1,29,1,29,1,231,223,0.965368,227,0.98268396,231,1,77,77,1,75,0.97402596,77,1,231,231,1,0,0,231,1,77,77,1,0,0,77,1,298,139,0.46644294,298,1,298,1,77,77,1,75,0.97402596,77,1,77,77,1,75,0.97402596,77,1,29,29,1,29,1,29,1,77,35,0.45454547,77,1,77,1,77,0,0,77,1,77,1,5160,0,0,0,0,0,0,0.12602466,0.118763,0.10777634,1,1,1,0.11567846,0.11453744,0.11608145,0.07347282,0.07506173,0.07347282,0.07347282,NaN,0.07347282,0.07347282,NaN,0.07347282,0.1284972,0.07497515,0.07497515,0.11592112,0.11888889,0.118446365,0.07347282,0.07506173,0.07347282,0.1867816,0.1867816,0.1867816,0.123544976,0.07347282,0.07347282,NaN,0.07347282,0.07347282,NaN,NaN,NaN,108,30,77
30,4,4,120,1966,1405,0.714649,1462,0.7436419,1964,0.9989827,29,29,1,29,1,29,1,360,310,0.8611111,348,0.96666664,358,0.99444443,120,120,1,116,0.96666664,120,1,360,360,1,0,0,360,1,120,120,1,0,0,120,1,468,157,0.33547008,468,1,468,1,120,120,1,116,0.96666664,120,1,120,120,1,116,0.96666664,120,1,29,29,1,29,1,29,1,120,40,0.33333334,120,1,120,1,120,0,0,120,1,120,1,0,0,NaN,0,NaN,0,NaN,0.06551479,0.061644416,0.053757288,0.97360283,1,1,0.0654505,0.06373365,0.062800996,0.03126437,0.031926278,0.03126437,0.03126437,NaN,0.03126437,0.03126437,NaN,0.03126437,0.058466945,0.030725023,0.030725023,0.048390806,0.051843043,0.05051724,0.03126437,0.031926278,0.03126437,0.1255648,0.1255648,0.1255648,0.05965517,0.03126437,0.03126437,NaN,0.03126437,0.03126437,NaN,NaN,NaN,145,30,120
30,4,6,67,10929,1060,0.09698966,973,0.089029185,1387,0.12691006,29,29,1,29,1,29,1,201,189,0.9402985,196,0.97512436,199,0.9900498,67,67,1,64,0.95522386,67,1,335,335,1,0,0,335,1,67,67,1,0,0,67,1,393,179,0.45547074,393,1,393,1,67,67,1,64,0.95522386,67,1,67,67,1,64,0.95522386,67,1,29,29,1,29,1,29,1,67,31,0.46268657,67,1,67,1,67,0,0,67,1,67,1,9540,0,0,0,0,0,0,0.14121152,0.13193054,0.11843054,0.9818512,1,1,0.14424951,0.14214107,0.14052719,0.088243,0.090734646,0.088243,0.088243,NaN,0.088243,0.088243,NaN,0.088243,0.15867883,0.08825499,0.08825499,0.11599895,0.120065786,0.116260804,0.088243,0.090734646,0.088243,0.19661222,0.19661222,0.19661222,0.15393323,0.088243,0.088243,NaN,0.088243,0.088243,NaN,NaN,NaN,57,30,67
30,4,8,96,8097,1743,0.21526492,1555,0.19204643,2335,0.28837842,29,29,1,29,1,29,1,288,278,0.9652778,277,0.9618056,286,0.9930556,96,96,1,95,0.9895833,96,1,672,672,1,0,0,672,1,96,96,1,0,0,96,1,743,311,0.41857335,743,1,743,1,96,96,1,95,0.9895833,96,1,96,96,1,95,0.9895833,96,1,29,29,1,29,1,29,1,96,40,0.41666666,96,1,96,1,96,0,0,96,1,96,1,5760,0,0,0,0,0,0,0.06933926,0.066805996,0.057880085,0.9841954,1,1,0.07526979,0.074638985,0.07444639,0.03984375,0.04008772,0.03984375,0.03984375,NaN,0.03984375,0.03984375,NaN,0.03984375,0.06776527,0.03971512,0.03971512,0.057986114,0.05991228,0.059461806,0.03984375,0.04008772,0.03984375,0.12902299,0.12902299,0.12902299,0.06895833,0.03984375,0.03984375,NaN,0.03984375,0.03984375,NaN,NaN,NaN,120,30,96
30,4,10,69,17264,1582,0.09163577,1264,0.07321594,1964,0.113762744,29,29,1,29,1,29,1,207,201,0.9710145,200,0.9661836,207,1,69,69,1,68,0.98550725,69,1,621,621,1,0,0,621,1,69,69,1,0,0,69,1,664,386,0.5813253,664,1,664,1,69,69,1,68,0.98550725,69,1,69,69,1,68,0.98550725,69,1,29,29,1,29,1,29,1,69,40,0.5797101,69,1,69,1,69,0,0,69,1,69,1,15300,0,0,0,0,0,0,0.1185805,0.115939215,0.10425393,1,1,1,0.12625551,0.12495283,0.12460122,0.08299152,0.08351832,0.08299152,0.08299152,NaN,0.08299152,0.08299152,NaN,0.08299152,0.11870662,0.08395374,0.08395374,0.123188406,0.12472253,0.123598576,0.08299152,0.08351832,0.08299152,0.19030578,0.19030578,0.19030578,0.11650944,0.08299152,0.08299152,NaN,0.08299152,0.08299152,NaN,NaN,NaN,106,30,69
30,6,4,119,9502,1663,0.17501579,1688,0.17764682,2180,0.22942539,29,29,1,29,1,29,1,595,547,0.91932774,583,0.97983193,593,0.99663866,119,119,1,117,0.9831933,119,1,357,357,1,0,0,357,1,119,119,1,0,0,119,1,458,179,0.39082968,458,1,458,1,119,119,1,117,0.9831933,119,1,119,119,1,117,0.9831933,119,1,29,29,1,29,1,29,1,119,46,0.38655463,119,1,119,1,119,0,0,119,1,119,1,7320,0,0,0,0,0,0,0.061081752,0.058378022,0.052069046,0.99655175,1,1,0.053882424,0.0537149,0.053359367,0.030694382,0.031129105,0.030694382,0.030694382,NaN,0.030694382,0.030694382,NaN,0.030694382,0.052602176,0.030831993,0.030831993,0.04909332,0.050877195,0.05011057,0.030694382,0.031129105,0.030694382,0.12286752,0.12286752,0.12286752,0.053661328,0.030694382,0.030694382,NaN,0.030694382,0.030694382,NaN,NaN,NaN,190,30,119